"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","02.01.2020 22:00 - 02.01.2020 23:00 (CET)","442","n/e","n/e","52","191","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","63","210","528"
"BZN|DK2","02.01.2020 23:00 - 03.01.2020 00:00 (CET)","397","n/e","n/e","43","194","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","60","214","537"
"BZN|DK2","03.01.2020 00:00 - 03.01.2020 01:00 (CET)","271","n/e","n/e","43","194","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","53","211","522"
"BZN|DK2","03.01.2020 01:00 - 03.01.2020 02:00 (CET)","225","n/e","n/e","42","183","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","54","206","517"
"BZN|DK2","03.01.2020 02:00 - 03.01.2020 03:00 (CET)","228","n/e","n/e","42","181","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","54","201","524"
"BZN|DK2","03.01.2020 03:00 - 03.01.2020 04:00 (CET)","230","n/e","n/e","42","177","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","54","213","573"
"BZN|DK2","03.01.2020 04:00 - 03.01.2020 05:00 (CET)","288","n/e","n/e","42","175","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","53","215","595"
"BZN|DK2","03.01.2020 05:00 - 03.01.2020 06:00 (CET)","255","n/e","n/e","42","161","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","215","531"
"BZN|DK2","03.01.2020 06:00 - 03.01.2020 07:00 (CET)","336","n/e","n/e","43","148","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","69","215","622"
"BZN|DK2","03.01.2020 07:00 - 03.01.2020 08:00 (CET)","449","n/e","n/e","68","150","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","70","215","624"
"BZN|DK2","03.01.2020 08:00 - 03.01.2020 09:00 (CET)","492","n/e","n/e","103","165","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","69","215","607"
"BZN|DK2","03.01.2020 09:00 - 03.01.2020 10:00 (CET)","492","n/e","n/e","107","182","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","69","213","586"
"BZN|DK2","03.01.2020 10:00 - 03.01.2020 11:00 (CET)","489","n/e","n/e","111","200","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3","67","206","569"
"BZN|DK2","03.01.2020 11:00 - 03.01.2020 12:00 (CET)","491","n/e","n/e","111","201","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","67","198","546"
